ms1,b1,e1,id2,ms2,b2,e2,ch_match,matches_percent
1,651,1372,Shamela0021766,4056,532,1251,309,40
1,462,830,Shamela0021809,3279,1083,1502,228,62
1,830,1380,Shamela0021809,3280,0,600,396,77
1,570,1380,ShamAY0037387,174,485,1384,559,73
1,512,1294,Shamela0023100,75,593,1425,508,68
1,493,1240,JK000568,12,650,1459,514,73
1,439,1462,Sham19Y0001729,148,586,1365,414,47
1,620,1380,Sham19Y0001729,149,0,579,346,52
1,458,1380,JK000055,214,267,1301,608,66
1,624,1380,Shamela0030543,33,0,795,426,57
1,468,1380,Shamela0004445,2782,82,1076,611,70
1,404,1334,JK009158,385,686,1509,515,64
1,475,846,JK000475,1924,1041,1460,246,68
1,846,1452,JK000475,1925,0,636,402,75
1,475,1132,JK000475,2397,782,1442,393,64
1,1115,1380,JK000475,2398,19,294,185,79
1,458,1388,JK000657,168,168,1154,570,65
1,265,1066,JK006838,1366,706,1481,469,67
1,1058,1368,JK006838,1367,11,316,222,86
1,593,1368,Shamela0001524,1223,292,1211,568,74
1,458,1104,JK007016,71,134,852,296,43
1,458,830,Sham19Y0148271,231,1106,1539,245,67
1,830,1380,Sham19Y0148271,232,0,604,400,79
1,414,1368,JK000467,1329,508,1402,547,63
1,606,1380,JK000735,257,0,832,514,69
1,436,1025,JK000474,129,793,1447,311,53
1,420,957,JK000624,337,876,1460,262,48
1,512,1275,ShamAY0035884,139,646,1497,540,73
1,458,1006,JK000883,17,809,1374,294,57
1,581,1368,JK001303,392,307,943,432,63
1,462,942,Shamela0025794,2798,916,1468,320,68
1,949,1423,Shamela0025794,2799,0,544,329,73
1,439,1462,JK000707,4,553,1327,439,50
1,493,1465,JK000481,484,16,1130,608,63
1,462,1380,Rafed0003489,75,68,1067,609,69
1,616,1380,JK001492,703,38,601,329,49
1,468,1032,Shamela0026741,11,859,1483,363,68
1,1032,1388,Shamela0026741,12,0,404,262,78
1,996,1465,Shamela0096228,588,203,641,182,41
1,458,1380,Shamela0003722,8242,153,1191,644,73
1,677,1285,JK009313,1903,833,1527,311,47
1,616,1372,JK009313,4162,89,984,398,52
1,584,1265,AOCP20251104073,135,496,1124,377,59
1,584,1132,JK000637,13,831,1430,376,71
1,1122,1380,JK000637,14,0,262,180,80
1,436,1104,ShamAY0032921,74,303,1091,310,44
1,570,1104,Shamela0008657,286,715,1360,248,44
1,462,1097,Shamela0009567,6,746,1463,430,70
1,996,1388,Shamela0009567,7,26,333,215,65
1,429,1254,Shamela0003118,2766,494,1442,529,62
1,1250,1380,Shamela0003118,2767,0,117,92,90
1,982,1230,Masaha001946Vols,1029,812,1017,107,51
1,436,1202,Shamela0023700,2603,704,1479,460,63
2,1103,1434,JK007065,717,659,995,211,67
2,1103,1434,JK007065,1086,993,1312,214,71
2,881,1434,JK000330,1009,316,712,229,46
2,1029,1434,JK000384,28,999,1369,231,64
2,0,1018,JK000916,19278,18,1060,785,94
2,1029,1434,Shamela0029778,6,780,1192,290,84
2,1024,1434,Shamela0010637,259,16,398,259,74
2,1103,1434,Sham19Y0013572,1339,167,485,214,71
2,239,1147,Shamela0026577,3,0,909,579,74
