ms1,b1,e1,id2,ms2,b2,e2,ch_match,matches_percent
127,0,1076,Shamela0011790,2235,725,1640,700,80
127,1076,1665,Shamela0011790,2236,0,585,449,94
127,0,419,AOCP20240423140Vols,67,1259,1748,236,55
127,419,1665,AOCP20240423140Vols,68,0,1352,763,64
128,0,781,JK003609,1973,836,1539,540,85
128,781,1621,JK003609,1974,0,772,582,85
128,0,1063,Shamela0011790,2236,585,1541,728,83
128,1063,1621,Shamela0011790,2237,0,543,417,92
128,0,280,AOCP20240423140Vols,68,1352,1571,168,75
128,280,1621,AOCP20240423140Vols,69,0,1350,947,82
129,0,670,JK003609,1974,772,1363,424,78
129,0,677,Shamela0011790,2237,543,1141,471,85
129,0,259,AOCP20240423140Vols,69,1350,1652,192,75
129,313,687,AOCP20240423140Vols,70,0,363,282,93
