ms1,b1,e1,id2,ms2,b2,e2,ch_match,matches_percent
1,887,1565,Shia001356,1,80,634,391,69
1,898,1565,Shia001217Vols,1312,239,799,404,72
1,898,1561,Shia001217Vols,4049,320,882,400,74
1,940,1489,Shia001172,185,832,1336,368,81
1,1057,1390,Shamela0010517,50,1210,1503,217,78
1,887,1298,PV2024060601,7672,1257,1623,267,76
1,1298,1565,PV2024060601,7673,0,244,185,86
1,925,1523,Zaydiyya0000196,28,559,1103,422,88
1,1057,1553,Shia003633,31,614,1090,301,66
1,887,1489,Zaydiyya0000302,1546,1086,1618,388,76
1,1008,1452,Shia001432Vols,17545,0,251,176,48
1,1008,1144,Shia001432Vols,31619,1355,1493,82,61
1,1144,1452,Shia001432Vols,31620,0,288,234,92
1,940,1561,Shia001237Vols,752,551,1092,372,73
1,898,1292,Shia001418Vols,536,538,835,224,71
1,1176,1452,Shia001171,456,551,795,196,85
1,887,1565,Shia001357,40,670,1278,462,84
2,838,1411,Shia004012,78,236,643,289,62
2,0,789,Shia001356,1,634,1362,495,74
2,668,1411,Shia001356,5,346,989,467,76
2,1049,1355,Shia001356,9,530,742,140,56
2,379,619,Shia001217Vols,1311,624,1035,155,46
2,0,252,Shia001217Vols,1312,799,1213,126,31
2,746,1355,Shia001217Vols,1313,0,552,412,85
2,11,252,Shia000121Vols,536,1178,1525,188,66
2,850,1381,Shia000121Vols,537,3,370,272,62
2,0,435,PV2024060601,2011,405,872,222,51
2,3,337,PV2024060601,3838,1003,1478,252,62
2,432,873,PV2024060601,7007,460,778,184,51
2,0,1338,PV2024060601,7673,244,1445,830,73
2,3,337,Shia001149Vols,110,284,759,252,62
2,725,1228,Zaydiyya0000196,24,973,1396,265,66
2,310,774,Zaydiyya0000196,24,148,581,237,56
2,1031,1411,Zaydiyya0000196,25,563,1152,255,52
2,527,646,Shia003633,5,140,259,96,100
2,1138,1362,Shia003633,7,213,360,112,63
2,379,789,Shia003633,22,1160,1504,210,64
2,708,1052,Shia003633,25,1141,1470,235,86
2,1052,1381,Shia003633,26,0,298,193,67
2,432,873,Zaydiyya0000302,881,270,588,184,51
2,0,1411,Zaydiyya0000302,1547,72,1337,874,73
2,0,252,Shia000234Vols,2775,1130,1557,132,32
2,0,486,Shia001122Vols,2011,405,872,241,54
2,411,881,Shia001432Vols,15314,880,1243,220,60
2,838,1411,Shia001432Vols,26118,279,679,288,62
2,0,252,Shia001432Vols,31101,773,1127,164,53
2,379,552,Shia001432Vols,31579,1309,1458,109,82
2,733,1068,Shia001432Vols,31580,843,1153,198,73
2,771,1362,Shia001432Vols,31581,14,484,271,54
2,356,646,Shia001237Vols,745,721,1031,221,90
2,1157,1411,Shia001237Vols,746,387,623,170,79
2,0,337,Shia000107Vols,1217,933,1416,243,58
2,1160,1411,Shia001171,456,1146,1362,170,84
2,850,1387,Shia000152,454,277,613,235,54
2,0,161,Shia001357,40,1278,1559,128,56
2,170,789,Shia001357,41,7,476,327,66
2,786,1411,Shia001357,45,0,639,472,92
2,1049,1357,Shia001357,49,362,627,180,70
3,365,515,Shia000182VolsBK2,307,868,1021,115,92
3,0,1219,Shia004012,78,643,1445,577,57
3,0,400,Shia001356,5,989,1294,219,67
3,365,726,Shia001356,6,240,610,149,40
3,376,1239,Shia001356,10,8,551,372,50
3,0,515,Shia001217Vols,1310,526,973,332,79
3,557,736,Shia001217Vols,1312,703,883,130,88
3,542,736,Shia001217Vols,1315,227,565,112,38
3,855,1110,Shia001217Vols,1317,0,229,171,82
3,1247,1477,Shia001217Vols,1318,810,991,133,73
3,0,438,Shia001115Vols,89,1070,1431,227,59
3,0,527,Shamela0010517,50,776,1217,270,59
3,4,515,Shia000075Vols,385,0,450,321,74
3,0,726,PV2024060601,1467,483,1248,391,54
3,676,1105,PV2024060601,1469,224,737,276,66
3,0,726,PV2024060601,7004,737,1427,365,49
3,0,1297,PV2024060601,7674,63,1208,768,71
3,1247,1477,PV2024060601,7678,326,508,142,77
3,0,442,Zaydiyya0000196,25,1152,1425,194,53
3,261,736,Zaydiyya0000196,26,0,522,286,57
3,1186,1477,Zaydiyya0000196,27,198,797,180,35
3,562,736,Zaydiyya0000196,29,1201,1368,115,77
3,261,574,Shia003633,3,0,393,169,47
3,0,515,Shia003633,24,110,561,331,78
3,395,736,Shia003633,25,439,704,171,62
3,0,726,Zaydiyya0000302,878,576,1266,365,49
3,85,1297,Zaydiyya0000302,1548,12,1065,702,69
3,1247,1477,Zaydiyya0000302,1552,158,340,142,77
3,0,726,Shia000234Vols,2776,605,1170,389,63
3,0,726,Shia001122Vols,1467,483,1248,394,55
3,676,1105,Shia001122Vols,1469,224,737,274,61
3,22,224,Shia001432Vols,6045,1142,1354,147,81
3,0,1457,Shia001432Vols,26118,679,1528,585,48
3,0,515,Shia001432Vols,31579,597,1181,282,51
3,0,1117,Shia001432Vols,31586,512,1475,447,40
3,1281,1477,Shia001432Vols,31616,988,1159,130,84
3,1275,1373,Shia002992Vols,4401,782,881,76,98
3,801,909,Shia003026VolsBK2,259,1378,1487,83,94
3,0,515,Shia001237Vols,746,623,1075,344,82
3,935,1442,Shia001237Vols,749,862,1461,272,53
3,1258,1477,Shia001237Vols,751,898,1105,132,66
3,0,515,Shia001615Vols,1274,371,650,189,44
3,0,330,Shia001171,456,1362,1631,195,72
3,330,515,Shia001171,457,0,185,146,96
3,0,189,Shia002389Vols,1524,1283,1471,135,83
3,130,515,Zaydiyya0000236,366,11,311,217,70
3,806,1147,Zaydiyya0000236,372,553,955,250,73
3,0,433,Shia001357,45,639,1416,252,35
3,782,1241,Shia001357,50,61,545,364,92
3,0,224,Shia000317Vols,4779,1227,1438,154,82
4,424,587,Shia004012,79,0,163,108,78
4,739,1241,Shia001356,1,1179,1526,213,50
4,1241,1450,Shia001356,2,0,210,165,99
4,0,521,Shia001217Vols,1318,991,1491,383,89
4,521,749,Shia001217Vols,1319,0,193,108,53
4,1190,1450,Shia001217Vols,4074,321,577,185,89
4,203,732,Shia000275Vols,617,1130,1620,273,57
4,1207,1450,PV2024060601,7678,1158,1390,177,91
4,0,749,PV2024060601,7678,508,1166,486,79
