ms1,b1,e1,id2,ms2,b2,e2,ch_match,matches_percent
6,710,1161,JK000345,121,754,1212,362,93
8,1413,1670,Hindawi036080595,1,741,1006,212,96
8,625,817,Shamela0006947,2905,517,713,155,95
8,625,831,Hindawi046379685,14,1034,1251,164,91
9,0,416,Hindawi036080595,1,1006,1722,323,53
9,416,1640,Hindawi036080595,2,0,1228,979,96
10,6,314,Hindawi036080595,2,1234,1616,236,74
10,314,1770,Hindawi036080595,3,0,1512,1161,89
11,0,267,Hindawi036080595,3,1512,1776,218,98
11,267,1693,Hindawi036080595,4,0,1495,977,70
12,0,201,Hindawi036080595,4,1509,1693,146,86
12,201,1768,Hindawi036080595,5,0,1710,1257,87
13,188,380,Hindawi036080595,7,1496,1750,156,72
13,372,1703,Hindawi036080595,8,170,1525,1031,90
14,790,992,JK000394,1022,0,203,167,99
14,119,483,Hindawi036080595,9,33,427,282,87
14,730,1008,Hindawi086350571Vols,1175,166,433,212,92
17,1010,1157,JK000394,1064,729,875,120,97
19,535,915,Hindawi028147925,35,59,462,245,66
19,592,834,Hindawi091915385,10,1407,1648,194,99
19,558,767,JK000394,1187,1478,1683,166,97
19,767,928,JK000394,1188,0,158,123,94
19,1045,1289,JK000394,1197,1503,1734,184,91
19,576,915,Hindawi086350571Vols,299,923,1284,264,90
19,1045,1289,Hindawi086350571Vols,308,1210,1470,190,87
29,425,1405,JK000394,1545,165,1601,735,60
29,1405,1576,JK000394,1546,0,171,139,98
30,375,1513,JK000394,1541,0,1383,912,80
30,0,158,JK000394,1546,171,330,130,99
31,628,978,JK000394,1462,1392,1723,271,94
31,978,1498,JK000394,1463,0,512,422,97
31,4,511,JK000394,1542,520,1006,400,95
33,683,1248,JK000394,1606,73,854,388,55
33,1092,1248,Hindawi086350571Vols,1179,538,694,128,100
34,669,1652,JK000394,1327,904,1745,655,77
34,1014,1328,Hindawi086350571Vols,1140,1529,1780,151,57
34,1328,1716,Hindawi086350571Vols,1141,0,415,332,93
35,805,1544,Hindawi086350571Vols,1231,862,1131,214,35
47,565,916,Hindawi091915385,221,319,671,289,99
54,1231,1439,Hindawi091915385,11,935,1150,169,93
54,625,1015,Hindawi091915385,27,1066,1637,281,59
54,625,850,JK000394,1601,1204,1427,173,93
54,925,1104,JK000394,1602,0,181,145,97
54,1273,1490,Hindawi046379685,34,399,599,167,91
55,467,730,Hindawi046379685,34,856,1581,196,32
58,1354,1702,Hindawi091915385,11,490,838,283,99
64,277,446,JK000394,1643,1456,1629,123,85
64,472,1009,JK000394,1644,289,1359,418,46
79,1509,1727,Hindawi027373961Vols,598,1328,1571,165,83
