ms1,b1,e1,id2,ms2,b2,e2,ch_match,matches_percent
1,70,455,ShamAY0037375,1,224,516,126,37
1,26,425,JK009279,1,279,657,252,71
2,213,659,Sham19Y0133411,8,328,700,287,79
2,285,592,Shamela0001242,52,621,783,135,52
2,206,510,JK009151,1,16,365,234,83
2,795,1529,Sham19Y0017881,2,494,1323,440,58
3,0,181,Sham19Y0017881,2,1315,1500,134,78
4,471,1387,JK009151,4,946,1522,269,29
4,1051,1264,Sham19Y0017881,4,1389,1557,127,71
4,1206,1431,Sham19Y0017881,5,0,222,146,74
5,478,1192,Sham19Y0032193,7,830,1163,146,23
6,836,1449,Sham19Y0032193,10,368,1222,256,32
6,1137,1338,Sham19Y0032193,242,543,767,150,78
6,800,1130,Sham19Y0017881,6,1491,1726,183,64
6,198,523,Sham19Y0017881,6,487,809,117,36
7,1073,1231,JK009143,39,834,985,114,87
8,657,1579,Sham19Y0017881,7,620,1401,422,48
10,1310,1497,Sham19Y0133411,85,962,1141,148,95
10,793,1607,JK009151,5,698,1398,400,54
10,570,1497,Sham19Y0017881,9,505,1152,354,41
10,249,568,JK000983,38,0,355,228,77
11,1314,1621,Sham19Y0133411,96,68,391,211,76
11,1314,1569,Sham19Y0032193,13,248,519,200,85
11,1332,1569,ShamIbadiyya0000150,21,1254,1502,188,88
11,661,894,Sham19Y0017881,10,1355,1615,109,48
11,947,1650,Sham19Y0017881,11,130,911,239,28
12,1319,1640,JK009143,48,1002,1494,126,28
12,1523,1674,Sham19Y0133411,114,1163,1310,121,97
12,1523,1674,Sham19Y0032193,15,121,267,120,96
12,1422,1647,AOCP20251104154,102,904,1046,79,40
12,90,869,Sham19Y0017881,12,40,1229,433,40
12,1007,1674,Sham19Y0017881,13,571,1461,400,47
13,148,394,JK009143,48,386,609,149,65
13,1124,1439,Sham19Y0032193,16,83,467,154,41
13,148,394,Sham19Y0127717,17,656,870,174,86
13,923,1586,JK009151,8,0,608,230,34
13,545,1586,Sham19Y0017881,14,305,1302,594,59
14,594,824,Shamela0002573,1735,713,930,157,79
14,1271,1557,JK009143,50,432,722,219,93
14,201,525,JK009143,50,17,305,166,64
14,188,588,Sham19Y0032193,17,225,884,216,41
14,331,811,AOCP20251104091Vols,151,452,802,210,50
14,594,811,ShamAY0034795,398,313,532,158,80
14,601,811,ShamAY0034795,506,1246,1410,106,59
14,188,746,Sham19Y0127717,19,405,1192,253,37
14,201,605,JK009151,8,1069,1529,296,79
14,605,811,JK009151,9,0,211,166,95
14,0,367,Sham19Y0017881,14,1302,1747,286,77
14,367,932,Sham19Y0017881,15,0,552,431,93
15,796,1174,JK009143,55,1142,1579,168,40
15,475,1240,Sham19Y0032193,18,268,1329,317,32
15,790,994,Sham19Y0032476,34,1408,1627,102,54
15,978,1399,Sham19Y0032476,35,3,312,116,27
15,1361,1530,JK000223,2,557,934,121,40
15,58,360,JK009151,9,336,577,175,71
15,0,569,Sham19Y0017881,15,909,1446,280,50
16,823,1377,Sham19Y0032193,20,997,1495,124,19
16,1209,1598,Sham19Y0032193,21,163,651,175,37
16,139,1394,Sham19Y0017881,17,105,1545,883,70
16,1385,1598,Sham19Y0017881,18,947,1216,138,59
17,1230,1367,Sham19Y0032193,24,866,1164,103,41
17,1163,1307,JK009151,11,1052,1192,111,97
18,501,1007,Sham19Y0133411,174,85,528,125,21
18,818,1016,Sham19Y0032193,23,293,438,96,60
18,397,1145,Sham19Y0122256,4,1184,1559,200,33
18,730,1051,JK009151,12,0,254,163,56
18,703,1565,Sham19Y0017881,20,0,986,402,40
19,593,1039,JK009143,59,996,1434,297,71
19,1359,1577,Sham19Y0032193,25,1263,1443,138,78
19,11,663,Sham19Y0017881,20,992,1446,237,39
19,622,1022,Sham19Y0017881,21,45,659,266,47
19,1202,1591,Sham19Y0017881,22,120,407,145,41
20,74,375,Sham19Y0133411,177,634,972,188,62
20,301,581,Sham19Y0133411,204,1211,1490,225,98
20,313,559,Sham19Y0133411,205,159,517,169,56
20,657,907,Sham19Y0133411,224,689,935,193,91
20,725,1147,Sham19Y0133411,228,172,522,231,67
20,74,299,Sham19Y0032193,24,1145,1377,171,90
20,301,581,Sham19Y0032193,26,931,1214,223,96
20,890,1147,Sham19Y0032193,32,826,1077,204,97
20,323,583,JK000223,2,1189,1445,205,95
20,323,581,Sham19Y0127717,25,589,846,205,96
20,313,559,Sham19Y0122256,6,73,413,191,68
20,307,581,Sham19Y0016983,3,1266,1563,177,64
20,77,299,JK009151,13,116,493,173,56
20,1159,1533,JK009151,13,602,995,284,84
20,307,583,JK009151,15,0,363,217,73
20,751,1029,JK009151,18,1060,1531,188,48
20,612,888,JK009151,18,0,687,220,37
20,313,495,Zaydiyya0000063,149,1371,1545,138,93
20,495,880,Zaydiyya0000063,150,0,355,234,69
20,77,220,Sham19Y0017881,21,1446,1587,107,90
20,0,293,Sham19Y0017881,22,248,710,150,41
20,665,888,Sham19Y0017881,24,1395,1610,178,95
20,816,1147,Sham19Y0017881,25,806,1483,258,46
20,100,299,Masaha004768Vols,9,782,974,144,85
20,310,559,Masaha004768Vols,10,884,1138,201,97
20,310,559,Masaha004768Vols,324,23,277,201,97
21,860,1574,JK009143,67,231,1062,268,27
21,544,732,Sham19Y0032193,26,307,478,119,76
21,863,1098,JK009286,17,1244,1567,147,51
21,956,1574,JK009286,18,19,236,106,20
22,0,416,JK009143,67,1062,1442,271,75
22,899,1411,JK009143,68,174,679,406,96
22,78,221,Sham19Y0032193,26,995,1137,99,82
22,84,221,Sham19Y0127717,25,633,769,98,84
22,892,1400,Sham19Y0127717,26,508,795,184,43
22,899,1160,JK009286,18,1347,1535,144,65
22,899,1433,JK009286,19,25,360,191,38
22,118,1400,Sham19Y0017881,23,237,1515,606,46
22,78,221,Masaha004768Vols,10,939,1081,99,82
22,78,221,Masaha004768Vols,324,78,220,99,82
23,126,511,Sham19Y0127717,24,1361,1586,125,37
23,1293,1581,Sham19Y0127717,25,118,330,135,52
23,1293,1581,Sham19Y0122256,5,1214,1426,141,59
23,113,338,JK009151,18,120,340,152,77
24,349,611,JK009143,57,229,509,153,55
24,349,571,Sham19Y0127717,25,373,555,133,72
24,349,563,Sham19Y0122256,5,1468,1641,131,72
24,579,1615,Sham19Y0017881,25,0,1154,400,30
25,0,476,Sham19Y0017881,25,821,1624,233,30
25,1085,1561,Sham19Y0017881,26,606,933,227,58
26,755,1003,Sham19Y0133411,241,450,692,195,95
26,1005,1159,Sham19Y0133411,254,338,486,117,92
26,1153,1311,Sham19Y0133411,278,574,730,121,93
26,712,1003,Sham19Y0032193,34,668,947,228,94
26,1153,1311,Sham19Y0032193,40,572,728,124,95
26,826,1077,JK009151,20,970,1594,197,38
26,1005,1206,JK009151,21,215,475,154,71
26,4,974,Sham19Y0017881,26,920,1630,314,31
26,248,710,Sham19Y0017881,27,188,527,181,43
26,1317,1618,Sham19Y0017881,27,527,837,183,61
