ms1,b1,e1,id2,ms2,b2,e2,ch_match,matches_percent
2,1333,1568,Shia002093,2,851,1306,167,46
2,1333,1568,JK000727,46,991,1446,167,46
2,1425,1568,Shamela0004473,10372,1,266,104,47
2,470,875,Shamela0007012,307,635,1019,304,90
2,438,875,JK007082,207,120,548,332,91
3,216,421,ShamAY0035950,859,713,922,152,89
3,224,426,JK009137,1436,1302,1491,132,77
3,1384,1568,Masaha000955Vols,1154,755,977,120,60
3,185,426,JK000467,460,752,1364,173,35
3,711,1111,Sham19Y0013274,104,816,1021,131,36
3,1457,1568,JK000107,238,1,117,73,70
3,1373,1568,Shia001174Vols,4044,1015,1246,128,64
4,1224,1502,Shamela0010452,473,1059,1342,207,90
4,101,435,JK009245,352,386,896,143,36
4,1129,1502,Kraken230107021738,1303,10,347,243,77
4,101,461,Shamela0029882,219,726,940,108,35
4,1224,1502,Shamela0035100,3594,113,328,151,63
4,1239,1502,Hindawi017083713,125,531,804,192,85
4,101,244,Shamela0011742,200,37,194,98,76
4,101,451,JK001131,98,795,1410,178,35
4,101,244,Shamela0008353,918,876,1030,95,74
4,1206,1502,Shamela0000736,5050,1,305,234,96
4,1050,1502,JK000448,14,1045,1491,352,97
4,130,244,Sham19Y0133358,282,200,638,62,16
4,1243,1493,Shia002943,69,998,1228,164,75
4,125,451,Shamela0011539,886,660,847,80,26
4,101,244,Shamela0011539,887,1037,1184,98,81
4,1060,1502,Shamela0012406,2574,947,1360,298,82
4,130,244,Sham19Y0017724,236,217,386,58,44
4,1224,1502,Shamela0003722,3122,86,370,216,96
4,1224,1502,Sham19Y0149213,787,217,480,203,90
5,788,1031,Shamela0096878,101,552,801,169,78
5,1103,1497,Shamela0023798,470,243,631,291,92
5,892,1024,Shamela0010906,3092,786,896,75,70
5,801,1024,Sham19Y0127713,462,53,234,108,55
5,885,1031,Kraken230107021738,1424,7,153,116,99
5,814,1031,Shamela0010512,21,793,988,124,68
5,795,1031,Shamela0010798,1396,414,634,153,81
5,1090,1528,Shamela0030623Vols,219,463,835,250,71
5,1,223,Hindawi017083713,125,804,1055,166,78
5,343,605,Hindawi017083713,126,64,305,183,87
5,1090,1497,ShamAY0033569,4,80,491,318,97
5,1090,1502,JK007054,493,226,642,321,97
5,892,1024,Shamela0012031,885,720,864,97,83
5,1184,1502,Sham19Y0014447,3,271,574,229,90
5,1090,1528,JK000837,55,460,901,326,92
5,1090,1497,JK001021,65,761,1156,283,81
5,814,1031,Sham19Y0013605,63,447,668,154,82
5,1090,1502,JK000082,229,146,504,271,82
5,892,1059,Shamela0000736,4039,1268,1437,105,74
5,1,506,JK000448,15,1,1129,236,23
5,295,605,JK000448,16,457,794,241,86
5,1090,1528,JK000448,18,325,693,267,75
5,780,1059,JK000448,20,366,631,148,65
5,892,1024,Shamela0003118,3741,1005,1149,97,83
5,892,1024,ShamAY0034857,410,808,945,90,78
5,1090,1528,JK000853,3,249,703,324,87
5,892,1024,ShamAY0035792,163,1070,1213,100,87
5,892,1052,JK000916,12352,1254,1427,101,73
5,892,1024,Shamela0012406,2216,555,699,100,86
5,892,1024,Shamela0003722,3641,314,457,97,82
6,1013,1175,JK005020,792,190,345,97,67
6,943,1175,Shamela0004445,1210,15,255,164,83
6,771,1175,Shamela0007640,50,313,722,296,89
6,992,1175,Shamela0036446,773,526,711,135,88
6,798,1175,Shamela0010480,1327,258,1118,188,25
6,32,615,ShamAY0001760,103,105,548,309,63
6,1,615,Shamela0010906,5300,600,1137,399,78
6,1,615,Shamela0011790,592,30,502,351,69
6,1,637,Shamela0030623Vols,17,938,1574,458,80
6,780,1175,Shamela0030623Vols,18,1,400,296,92
6,1,508,Shamela0035100,5607,1069,1521,341,81
6,989,1175,JK008001,734,773,951,129,83
6,892,1175,Shamela0021809,1517,720,1006,176,73
6,989,1175,Zaydiyya0000067,35,378,561,127,78
6,959,1175,Zaydiyya0000067,93,436,663,131,67
6,1,637,JK000832,9,506,1157,466,82
6,802,1175,JK000832,10,653,1078,228,62
6,325,492,JK000753,154,1,167,128,92
6,892,1175,ShamAY0034447,2165,420,711,212,90
6,6,455,Sham19Y0122096,13,1264,1608,246,66
6,989,1175,Shamela0009918,1674,738,913,123,78
6,989,1175,JK009390,6807,276,467,127,75
6,1,637,JK000082,229,802,1457,457,79
6,892,1175,Shamela0012579,2229,944,1250,177,70
6,1,615,JK003609,3751,1079,1581,376,75
6,1,637,Shamela0023735,2064,180,818,458,82
6,1,455,Shamela0003118,2705,1146,1578,333,87
6,992,1175,Shamela0003118,5630,662,863,127,74
6,989,1161,Shamela0026568,100,365,531,124,89
6,1,637,Shamela0009631,165,457,1010,331,59
6,1,1175,JK000761,436,71,1177,778,76
6,1,694,Sham19Y0001994,354,154,838,467,76
6,888,1175,JK000675,262,252,552,183,74
6,1,743,JK000916,8329,731,1494,478,72
6,965,1175,JK000916,19357,1,229,149,80
6,173,637,JK000213,398,1,514,345,78
6,144,615,Sham19Y0017372,178,146,621,237,49
6,989,1175,JK000637,1857,95,291,132,81
6,989,1161,Shamela0023685,96,911,1077,124,89
6,1,615,Shamela0027084,108,186,649,335,66
6,6,397,JK007014,164,1325,1644,226,67
6,1,615,JK000532,644,597,1050,324,65
6,989,1175,Sham19Y0127677,4734,34,225,128,76
6,1,637,Shamela0026731,176,807,1486,503,89
6,655,1175,Shamela0026731,177,304,1120,369,56
6,1,637,Shamela0009584,204,746,1314,407,72
6,989,1175,JK007044,5581,227,387,116,76
7,787,998,Sham19Y0007729,6,1463,1679,173,97
7,998,1588,Sham19Y0007729,7,1,486,351,72
7,787,1054,Shamela0009993,37,1206,1377,144,64
7,1088,1407,Shamela0010826,101,188,603,149,42
7,787,1066,JK000990,669,1257,1568,211,81
7,723,1588,Sham19Y0017372,15,459,1299,629,86
7,666,1474,Shamela0001037,16,330,945,468,70
7,856,1407,JK009395,2,502,1255,363,55
7,304,1291,JK006975,4,25,735,431,50
8,181,308,Sham19Y0007729,6,883,1018,101,92
8,792,1532,Sham19Y0007729,9,444,1144,510,82
8,176,314,Shamela0001037,15,244,387,104,87
9,635,1290,JK006675,550,16,637,469,85
9,1,569,Sham19Y0007729,9,1144,1461,242,52
9,642,1204,Shamela0029677,410,783,1353,429,87
9,937,1284,ShamAY0032275,218,1,423,256,71
9,602,1277,JK000676,806,194,1162,507,62
9,629,815,Sham19Y0017372,14,1365,1570,147,88
9,815,1290,Sham19Y0017372,15,1,448,362,91
9,1290,1582,Sham19Y0017372,19,350,634,173,68
9,629,1262,Shamela0027084,101,613,1280,472,82
9,629,1284,JK000532,143,464,1431,502,62
9,642,1204,Zaydiyya0000101,14,622,1196,430,87
10,220,790,Sham19Y0026523,2052,1114,1526,248,52
10,205,772,Shamela0004473,6718,161,563,241,51
10,799,1036,Sham19Y0007729,6,1171,1440,193,87
10,522,790,Sham19Y0007729,15,1,170,108,48
10,1071,1553,Sham19Y0007729,16,309,566,194,48
10,220,790,Hindawi084739682,77,234,645,248,52
10,216,405,Sham19Y0127671,1055,715,881,118,72
10,205,790,Shamela0009993,37,779,1185,251,51
10,1094,1281,JK000761,359,1235,1418,147,97
10,1281,1560,JK000761,360,1,282,229,99
10,216,405,Sham19Y0017372,12,15,213,116,70
10,216,580,Sham19Y0017372,21,945,1290,188,53
10,1056,1560,Sham19Y0017372,25,600,1037,346,84
11,1155,1326,Shamela0096966,1,744,985,134,69
11,155,505,Sham19Y0016421,7,779,1126,205,62
11,684,928,Sham19Y0007729,5,117,388,174,72
11,1,121,JK000761,360,282,401,97,99
11,148,484,Shamela0001037,13,1015,1348,267,96
11,121,1002,JK006975,5,442,1305,435,52
11,1077,1270,JK006975,6,346,543,143,90
12,682,1125,Shamela0029878BK2,1,550,952,182,41
12,709,1128,Sham19Y0017063,870,585,887,116,28
12,947,1185,Shamela0012981,108,817,1032,164,86
12,975,1174,JK000475,505,941,1421,116,30
12,1043,1168,Shamela0029859,15,1,102,78,80
12,928,1133,Shamela0000767,3061,1240,1419,127,79
12,928,1185,Shamela0009793,149,315,539,164,81
13,496,736,Shamela0009107BK1,519,413,654,151,73
13,56,333,Shamela0029878BK2,6,1261,1513,196,89
13,583,736,Sham19Y0127700,82,492,661,118,87
13,504,736,Shamela0008544,713,867,1093,138,67
13,588,736,Shamela0036446,88,128,282,109,84
13,496,736,Sham19Y0018144,224,522,803,162,71
13,562,736,JK000165,329,272,440,129,94
13,562,736,JK000913,566,300,445,96,69
13,504,736,ShamAY0035249,54,792,1060,144,66
13,496,736,JK000469,63,1192,1433,154,73
13,600,736,Sham19Y0018607,74,919,1063,97,82
13,189,657,JK009313,3249,1074,1495,163,32
13,496,736,ShamAY0034005,135,866,1108,151,73
13,535,736,Sham19Y0020638,153,532,736,140,82
13,562,736,Sham19Y0132524,367,398,568,122,81
13,496,781,ShamAY0033975,562,447,769,175,66
13,504,736,JK000475,1933,504,772,144,66
