ms1,b1,e1,id2,ms2,b2,e2,ch_match,matches_percent
4,981,1674,Shia004673Vols,1199,543,1274,437,64
5,1288,1505,Sham19Y0122257,668,877,1089,144,86
5,1288,1500,Shamela0000041,2072,293,504,142,85
5,1288,1500,JK009313,5672,271,483,157,94
5,1154,1581,JK000475,251,4,529,182,37
5,1346,1581,JK000475,2078,1,291,127,49
5,1288,1514,Sham19Y0014119,84,475,723,161,83
5,1288,1500,Sham19Y0023608,3149,397,649,135,63
5,1288,1500,JK000055,240,199,399,141,85
5,1154,1581,JK000735,16,825,1343,197,43
5,1326,1500,JK005021,100,1083,1263,131,91
5,1154,1431,JK000001,607,1269,1583,191,74
5,1301,1566,JK000001,608,90,654,189,43
5,1288,1576,JK000201,1051,1053,1439,166,52
5,1171,1576,JK009266,7370,497,881,194,55
5,1288,1505,Shamela0001391,109,800,1029,154,86
5,1291,1527,Shamela0095577,2,997,1266,123,56
5,1326,1505,Sham19Y0145212,807,5,182,114,81
5,1288,1500,Sham19Y0016976,418,650,869,154,88
5,1391,1509,Shamela0001438,1553,1380,1489,80,88
5,1171,1571,Shamela0001466,2655,469,900,184,46
5,1288,1581,JK000350,96,51,341,163,71
5,1288,1581,JK000568,16,265,572,152,50
5,1288,1524,Sham19Y0017791,340,1117,1386,171,80
5,1374,1514,Sham19Y0017791,341,1,179,102,74
5,1359,1562,Sham19Y0038171,760,19,285,153,72
5,1154,1576,ShamAY0033910,269,600,1138,216,48
5,1408,1581,Tafsir09085,612,7,177,121,83
5,1334,1584,ShamAY0035035,3181,1135,1416,161,73
5,1288,1505,Shamela0021766,3624,953,1166,139,82
5,1154,1576,JK000130,270,723,1261,216,48
5,1288,1581,Shamela0012034,163,767,1067,154,58
5,1288,1505,JK007045,139,1176,1386,142,85
5,1165,1500,Sham19Y0017063,207,796,1086,166,64
5,1288,1500,JK009152,409,1235,1419,128,78
6,590,957,Masaha003955Vols,370,834,1304,230,56
6,1248,1465,Sham19Y0127713,484,1,225,164,92
6,595,830,JK000170,733,380,599,144,67
6,1,590,Shamela0010512,133,1273,1432,111,24
6,68,481,JK005021,101,1,883,189,26
6,595,838,JK000001,604,735,1008,181,81
6,571,801,ShamAY0033626,87,638,892,152,74
6,498,957,JK000088,193,733,1275,222,51
6,583,953,Shamela0001391,236,663,1025,175,46
6,943,1484,Shia004012,66,875,1254,175,35
6,811,1479,Shia001237Vols,1187,271,643,212,40
6,498,820,Shia002185Vols,1206,959,1258,168,62
6,1,749,JK010561,361,476,801,101,13
6,559,830,Shamela0023644,3,1005,1379,155,50
6,498,830,Shamela0023644,1503,87,420,157,51
6,1,571,ShamIbadiyya0000050,4835,709,936,92,18
6,590,801,Kraken220413202218,214,112,287,133,75
6,571,968,JK009245,16,116,488,189,52
7,802,1221,JK005017,33,334,706,276,84
7,1009,1116,Kraken22031816264701,14,1459,1567,76,91
