ms1,b1,e1,id2,ms2,b2,e2,ch_match,matches_percent
8,997,1193,Shia004456Vols,1339,208,397,144,87
8,421,701,Shia004456Vols,1340,1383,1659,201,85
8,692,853,Shia004456Vols,1341,439,600,130,98
8,1103,1336,Zaydiyya0000142,1345,1,227,173,91
8,421,993,Zaydiyya0000142,1346,377,966,388,70
9,1032,1289,Rafed0003793Vols,15,976,1359,124,35
9,1,254,Shia000017,16,137,462,181,67
9,275,443,Shia000017,17,730,929,125,79
9,8,254,Shia001255Vols,713,1140,1386,206,100
9,1,254,Shia002964Vols,324,160,413,211,100
9,1,254,Shia000019Vols,4,1029,1282,211,100
10,1,231,Rafed0003793Vols,15,51,200,117,62
10,375,1058,Rafed0003793Vols,16,156,643,238,38
10,1170,1453,Shia000017,31,240,633,145,41
10,1,277,Shamela0012406,3500,103,370,193,80
11,1080,1590,Shia000017,31,859,1306,121,20
11,684,1139,Shia000041,29,1052,1392,131,33
11,684,1139,Shia002341Vols,33,857,1204,132,33
12,495,1065,Shia000045,11,783,1028,82,14
12,502,1228,Shia002964Vols,323,635,1142,176,25
12,495,1077,Zaydiyya0000142,1347,1417,1643,87,16
13,950,1596,Shia003636Vols,12181,44,490,112,15
13,167,753,Shia002931,173,436,1278,183,19
13,418,1642,Shia002955Vols,200,593,1435,449,39
13,215,1652,JK003609,5269,658,1395,354,26
13,215,1652,JK003609,5272,889,1582,430,35
13,14,925,Shia002964Vols,324,1010,1279,126,15
13,418,1703,Shamela0009788,1223,77,929,428,34
13,1387,1725,Shia002970Vols,832,1,325,223,73
13,1217,1725,Shia002948Vols,378,738,1028,85,15
13,1,1284,Shia002992Vols,3790,852,1671,614,56
13,1341,1725,Shia002992Vols,3791,1,534,296,67
13,942,1642,Shia002992Vols,3792,1,579,276,40
13,1,1725,Shia002934,72,132,1557,949,60
13,418,1642,Shia002938,44,788,1668,503,46
14,48,854,Shia002931,173,140,1230,582,63
14,48,738,Shia002992Vols,3789,676,1568,516,70
14,655,1102,Shia002992Vols,3790,1,591,130,18
14,48,266,Zaydiyya0000142,1344,273,533,169,78
15,320,1598,Shia003358,338,89,1175,673,59
15,71,288,Shia003358,343,1,213,143,71
15,320,1233,Zaydiyya0000200,339,781,1651,545,66
15,26,288,Zaydiyya0000200,344,623,899,180,71
16,583,991,Shia003366Vols,1876,913,1285,264,74
16,389,506,Shia003366Vols,4194,453,673,73,40
16,250,535,Shia002931,173,436,626,100,40
16,573,1027,Shia002964Vols,937,969,1424,282,63
16,389,550,Shia000019Vols,18,1656,1853,102,62
16,250,535,Shia002992Vols,3789,959,1150,101,41
16,565,983,Shia003358,343,609,1042,327,89
16,565,923,Zaydiyya0000200,344,1295,1675,282,89
17,1193,1395,Shia003636Vols,12181,1408,1610,160,97
17,928,1414,Shia002964Vols,930,1,505,358,81
18,1087,1376,Masaha001127Vols,3,1433,1661,170,69
19,1325,1571,Rafed0003793Vols,526,1045,1362,190,73
20,310,1091,Rafed0003793Vols,1032,247,1019,594,91
21,629,851,Shia000094Vols,146,1113,1480,135,43
21,866,1003,Shia000094Vols,147,143,280,98,89
21,866,1003,Shia000126Vols,54,218,344,89,81
21,639,955,Shia000196Vols,89,820,1044,111,44
21,838,983,Shia000196Vols,90,388,530,102,88
21,866,983,Shia000220Vols,158,1165,1278,91,96
21,866,983,Shia000263Vols,136,743,856,91,96
21,687,1029,Shia000263Vols,163,425,707,158,55
21,632,1060,Shia000383Vols,212,1067,1625,293,63
21,866,983,Shia000383Vols,324,941,1058,94,100
21,647,1088,Shia000234Vols,262,7,386,260,73
21,632,1093,Shia000374Vols,30,350,923,306,64
21,632,1093,Shia000049Vols,138,373,974,319,63
21,632,1083,Shia000401Vols,15,259,848,307,62
21,632,1088,Shia000317Vols,137,703,1118,271,67
21,629,1017,Shia000317Vols,332,1129,1635,262,62
21,1097,1402,Shia000121Vols,734,302,610,232,90
26,850,1225,Shia003636Vols,4424,1,254,184,61
26,193,687,Shia003636Vols,7564,1195,1597,321,79
26,687,1144,Shia003636Vols,7565,1,485,347,86
26,1,578,Shia003636Vols,8088,578,1179,445,88
26,1225,1484,Shia003636Vols,8088,1147,1413,203,94
26,206,392,Shia003636Vols,12638,181,385,136,79
26,118,1420,Rafed0003793Vols,9,332,1635,1059,99
26,1420,1600,Rafed0003793Vols,10,1,181,143,100
26,1310,1543,Shia003021,217,1,203,111,53
26,1,1415,Shia002964Vols,313,859,1604,561,48
26,1415,1600,Shia002964Vols,314,1,187,145,98
26,1,536,Shia002964Vols,905,256,615,229,47
26,1225,1452,Shia003764Vols,925,159,388,176,95
26,1185,1448,Shia000234Vols,11039,433,688,187,87
26,118,578,Shia000234Vols,11039,292,496,137,35
26,595,752,Zaydiyya0000209,230,381,511,104,80
26,536,752,Shia002984Vols,776,121,288,133,75
26,1219,1431,Shia002984Vols,848,318,518,158,89
26,595,752,Shia002992Vols,1331,228,356,105,80
26,1225,1448,Shia002992Vols,1502,19,242,175,97
27,181,423,Shia003636Vols,9269,1300,1522,176,91
27,181,443,Shia003636Vols,10592,1052,1255,160,76
27,31,176,Shia003636Vols,12612,1299,1444,117,99
27,1,476,Rafed0003793Vols,10,181,656,384,100
27,643,1247,Rafed0003793Vols,794,115,550,348,70
27,1271,1601,Rafed0003793Vols,1032,1,331,267,100
27,31,176,Rafed0000685Vols,287,399,558,118,91
27,31,248,Shia002012,90,1108,1331,138,74
27,1,476,Shia002964Vols,314,187,650,373,97
27,791,1048,Shia000234Vols,10729,88,275,144,67
27,36,348,Shia002984Vols,1976,1054,1434,233,73
27,176,476,Shia002992Vols,3350,1222,1510,232,96
27,181,443,Zaydiyya0000195,15,247,450,160,76
28,400,1088,Rafed0003793Vols,1032,331,1019,548,98
28,725,851,Shia000234Vols,206,1407,1620,46,25
29,861,1226,Shia000094Vols,146,1080,1480,289,88
29,1241,1378,Shia000094Vols,147,143,280,98,89
29,1458,1589,Rafed0003793Vols,526,1012,1155,95,78
29,1241,1378,Shia000126Vols,54,218,344,89,81
29,1002,1330,Shia000196Vols,89,820,1044,133,49
29,1213,1358,Shia000196Vols,90,388,530,102,88
29,1241,1358,Shia000220Vols,158,1165,1278,91,96
29,885,1463,Sham19Y0013605,641,980,1232,116,25
29,885,1407,JK009324,196,1290,1495,99,24
29,1007,1289,Shia000263Vols,135,1035,1327,156,59
29,1241,1358,Shia000263Vols,136,743,856,91,96
29,1159,1404,Shia000263Vols,163,469,707,139,67
