ms1,b1,e1,id2,ms2,b2,e2,ch_match,matches_percent
1,277,581,Shamela0008544,186,1099,1452,210,70
1,993,1122,Sham19Y0020881,415,674,814,101,92
1,616,767,Sham19Y0020881,601,995,1142,109,90
1,600,897,Sham19Y0020881,647,908,1230,133,42
1,993,1122,Sham19Y0020881,682,33,167,98,94
1,1122,1360,Sham19Y0020881,1043,421,668,169,89
1,993,1209,Shamela0000736,4365,722,908,105,62
1,993,1135,Shamela0003722,4331,654,797,99,87
1,16,712,Shamela0010798,3154,1059,1468,223,38
1,0,1015,ShamAY0034157,1,451,1495,802,94
1,1015,1463,ShamAY0034157,2,0,456,341,95
2,401,508,JK006675,578,893,1005,81,91
2,1185,1341,Shamela0013041,834,490,637,110,91
2,382,508,Sham19Y0020882,42,618,747,91,89
2,726,857,Sham19Y0020881,356,0,140,100,90
2,508,839,Sham19Y0020881,567,894,1221,253,97
2,1185,1349,Sham19Y0020881,944,258,432,113,85
2,382,508,JK000761,288,898,1058,95,74
2,508,1067,Sham19Y0020878,434,177,591,265,57
2,0,922,ShamAY0034157,2,456,1381,721,98
2,922,1401,ShamAY0034157,3,0,491,372,96
3,712,886,Shamela0010906,2689,0,150,117,84
3,671,951,JK000916,13273,741,1018,215,95
3,510,707,Sham19Y0020882,161,582,785,136,85
3,190,510,Sham19Y0020881,189,1018,1343,241,94
3,190,536,Sham19Y0020881,285,254,603,246,90
3,477,951,Sham19Y0020881,626,876,1394,260,54
3,26,193,Sham19Y0020881,1171,1244,1407,124,94
3,931,1237,Sham19Y0020881,1215,801,1102,223,95
3,190,523,Shamela0021477,315,799,1155,229,81
3,951,1237,Shamela0000736,5914,226,484,177,74
3,759,881,Shamela0003722,4038,68,182,67,66
3,951,1099,Shamela0003722,7706,246,384,102,89
3,0,898,ShamAY0034157,3,491,1380,685,95
3,898,1379,ShamAY0034157,4,0,491,370,96
3,676,886,Shamela0035100,2462,551,727,128,77
4,232,509,JK000475,774,432,721,190,77
4,311,509,JK000471,1120,563,787,147,80
4,213,509,Shamela0001727,677,814,1098,175,67
4,262,509,JK000386,434,851,1089,174,83
4,370,509,JK000386,492,8,149,102,88
4,18,509,JK000977,1138,422,888,249,57
4,213,513,JK000929,259,1105,1370,185,75
4,213,509,Tafsir07055,1987,782,1066,173,66
4,315,509,Sham19Y0013252,2847,866,1061,122,71
4,294,509,Shamela0000427BK2,2471,248,507,151,72
4,232,521,ShamAY0035884,560,937,1280,205,75
4,262,509,JK006950,1814,1216,1447,161,80
4,315,509,Shamela0036446,380,201,401,143,87
4,10,526,ShamAY0034005,430,117,654,217,41
